               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047209,            0.022045,            0.016884,             0.51544,             0.36713,             0.29553,             0.12457,            0.060876,            0.013014,            0.028361,            0.008812,            0.008812,            0.008812
                  38,            0.048393,             0.02161,             0.01433,             0.65413,             0.36142,             0.43528,              0.1694,            0.059986,             0.01219,            0.011373,            0.008779,            0.008779,            0.008779
                  39,            0.047033,            0.020704,            0.015758,             0.59671,             0.31659,             0.31939,             0.13015,            0.057284,             0.01435,            0.018899,            0.008746,            0.008746,            0.008746
                  40,            0.049147,            0.021511,            0.016382,              0.5196,             0.36897,             0.31023,             0.12578,            0.058923,             0.01243,            0.017902,            0.008713,            0.008713,            0.008713
                  41,            0.047754,            0.019907,            0.013524,             0.35733,             0.36641,             0.26757,             0.11457,            0.056815,            0.013177,            0.011197,             0.00868,             0.00868,             0.00868
                  42,            0.045786,            0.020078,            0.015235,             0.40662,             0.35784,             0.31531,             0.13433,            0.058854,            0.013725,            0.019872,            0.008647,            0.008647,            0.008647
                  43,            0.046423,            0.021543,            0.013771,             0.41828,             0.44108,             0.42236,             0.17475,            0.054688,            0.013431,            0.014687,            0.008614,            0.008614,            0.008614
                  44,            0.045943,            0.021792,            0.014642,              0.3608,             0.40619,             0.27299,            0.097649,            0.057287,            0.015555,            0.011302,            0.008581,            0.008581,            0.008581
                  45,            0.046388,            0.020963,            0.015047,             0.29353,             0.38843,             0.30092,             0.10883,            0.057738,            0.014238,            0.019157,            0.008548,            0.008548,            0.008548
                  46,             0.04328,            0.020594,            0.014496,             0.39884,              0.3463,             0.27543,            0.089774,            0.054607,            0.013846,            0.016108,            0.008515,            0.008515,            0.008515
                  47,            0.045193,            0.020698,            0.012451,             0.44897,             0.32176,             0.32464,             0.13269,            0.052666,            0.014277,            0.012301,            0.008482,            0.008482,            0.008482
                  48,            0.043867,            0.020337,            0.011559,             0.34628,             0.35149,             0.31687,              0.1182,            0.057047,             0.01287,            0.025944,            0.008449,            0.008449,            0.008449
                  49,            0.042904,            0.019345,            0.013722,             0.53888,             0.34749,             0.32215,             0.12204,            0.054481,            0.013462,            0.028603,            0.008416,            0.008416,            0.008416
                  50,            0.046021,            0.020358,            0.014641,             0.40201,             0.41291,             0.39234,              0.1598,            0.055107,            0.013825,             0.04012,            0.008383,            0.008383,            0.008383
                  51,            0.045134,            0.019431,            0.011471,             0.55359,             0.32639,             0.39131,             0.16357,            0.057279,             0.01172,            0.021067,             0.00835,             0.00835,             0.00835
                  52,            0.043244,            0.019804,            0.014451,             0.50282,             0.42269,             0.49869,             0.21871,            0.057127,            0.010942,             0.01684,            0.008317,            0.008317,            0.008317
                  53,            0.045649,            0.020796,            0.011884,              0.3473,             0.36163,             0.34226,             0.13191,            0.055249,            0.010975,             0.01692,            0.008284,            0.008284,            0.008284
                  54,            0.045742,            0.020134,            0.011028,              0.4543,             0.31521,             0.33361,             0.15226,            0.051126,            0.012084,            0.014899,            0.008251,            0.008251,            0.008251
                  55,            0.043274,            0.020095,            0.012754,             0.52151,             0.46895,             0.43894,             0.18353,            0.052212,            0.011337,            0.012146,            0.008218,            0.008218,            0.008218
